TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
None,1000,1000.0,0.0,0,0,-1,1292.619995
BUY,1000.0,0,0.77646985442560701,0,0.0006029054348317233,1292.619995,1287.880005
None,0,0,0.0,0.77646985442560701,0.77646985442560701,1287.880005,1286.7700199999999
None,0,0,0.0,0.77646985442560701,0.77646985442560701,1286.7700199999999,1277.719971
SELL,0,1001.7081956327136,1001.7081956327136,0.77646985442560701,0,1277.719971,1290.079956
BUY,1001.7081956327136,0,0.77939996049011673,0,0.00060642840006744684,1290.079956,1285.2299800000001
None,0,0,0.0,0.77939996049011673,0.77939996049011673,1285.2299800000001,1280.589966
SELL,0,1005.4882667354916,1005.4882667354916,0.77939996049011673,0,1280.589966,1290.079956
BUY,1005.4882667354916,0,0.77946641343598499,0,0.0006042515957419795,1290.079956,1289.969971
None,0,0,0.0,0.77946641343598499,0.77946641343598499,1289.969971,1276.0600589999999
SELL,0,995.07460636451663,995.07460636451663,0.77946641343598499,0,1276.0600589999999,1276.6099850000001
None,995.07460636451663,995.07460636451663,0.0,0,0,1276.6099850000001,1297.920044
BUY,995.07460636451663,0,0.7726454347464744,0,0.00059993588824020481,1297.920044,1287.880005
None,0,0,0.0,0.7726454347464744,0.7726454347464744,1287.880005,1282.0200199999999
None,0,0,0.0,0.7726454347464744,0.7726454347464744,1282.0200199999999,1280.589966
SELL,0,991.40454054947088,991.40454054947088,0.7726454347464744,0,1280.589966,1283.130005
BUY,991.40454054947088,0,0.775116110770533,0,0.00060601395354014634,1283.130005,1279.040039
None,0,0,0.0,0.775116110770533,0.775116110770533,1279.040039,1275.839966
SELL,0,990.2108315093559,990.2108315093559,0.775116110770533,0,1275.839966,1277.5
None,990.2108315093559,990.2108315093559,0.0,0,0,1277.5,1286.1099850000001
BUY,990.2108315093559,0,0.7729801871095372,0,0.0006034052048826228,1286.1099850000001,1281.030029
SELL,0,992.51429778031866,992.51429778031866,0.7729801871095372,0,1281.030029,1284.01001
None,992.51429778031866,992.51429778031866,0.0,0,0,1284.01001,1299.3599850000001
BUY,992.51429778031866,0,0.76967133409835364,0,0.00059686189292948498,1299.3599850000001,1289.530029
SELL,0,994.29989448284607,994.29989448284607,0.76967133409835364,0,1289.530029,1291.849976
BUY,994.29989448284607,0,0.77657231766263479,0,0.00060652180283452732,1291.849976,1280.369995
None,0,0,0.0,0.77657231766263479,0.77657231766263479,1280.369995,1271.530029
None,0,0,0.0,0.77657231766263479,0.77657231766263479,1271.530029,1269.660034
None,0,0,0.0,0.77657231766263479,0.77657231766263479,1269.660034,1268.5500489999999
SELL,0,987.60584498745584,987.60584498745584,0.77657231766263479,0,1268.5500489999999,1271.75
BUY,987.60584498745584,0,0.78275809094285664,0,0.00062039955721838384,1271.75,1261.6999510000001
None,0,0,0.0,0.78275809094285664,0.78275809094285664,1261.6999510000001,1260.0500489999999
None,0,0,0.0,0.78275809094285664,0.78275809094285664,1260.0500489999999,1247.349976
SELL,0,978.18933794991563,978.18933794991563,0.78275809094285664,0,1247.349976,1249.670044
None,978.18933794991563,978.18933794991563,0.0,0,0,1249.670044,1271.089966
BUY,978.18933794991563,0,0.77312553008217488,0,0.00061105050124298942,1271.089966,1265.23999
SELL,0,980.49323734017548,980.49323734017548,0.77312553008217488,0,1265.23999,1268.219971
BUY,980.49323734017548,0,0.77359523077544812,0,0.0006103556437594182,1268.219971,1267.4499510000001
None,0,0,0.0,0.77359523077544812,0.77359523077544812,1267.4499510000001,1259.9399410000001
None,0,0,0.0,0.77359523077544812,0.77359523077544812,1259.9399410000001,1259.719971
SELL,0,978.52836966240989,978.52836966240989,0.77359523077544812,0,1259.719971,1264.910034
BUY,978.52836966240989,0,0.7761724741876691,0,0.00061566299799202518,1264.910034,1260.709961
SELL,0,983.23978936045728,983.23978936045728,0.7761724741876691,0,1260.709961,1266.780029
None,983.23978936045728,983.23978936045728,0.0,0,0,1266.780029,1272.75
BUY,983.23978936045728,0,0.77684702879931566,0,0.00061377836076676904,1272.75,1265.6800539999999
None,0,0,0.0,0.77684702879931566,0.77684702879931566,1265.6800539999999,1258.0600589999999
SELL,0,978.08928967528277,978.08928967528277,0.77684702879931566,0,1258.0600589999999,1259.0500489999999
BUY,978.08928967528277,0,0.78061046887220231,0,0.00062300314556678097,1259.0500489999999,1252.9799800000001
SELL,0,978.77623079094258,978.77623079094258,0.78061046887220231,0,1252.9799800000001,1253.8599850000001
None,978.77623079094258,978.77623079094258,0.0,0,0,1253.8599850000001,1259.9399410000001
None,978.77623079094258,978.77623079094258,0.0,0,0,1259.9399410000001,1263.6899410000001
None,978.77623079094258,978.77623079094258,0.0,0,0,1263.6899410000001,1265.6800539999999
None,978.77623079094258,978.77623079094258,0.0,0,0,1265.6800539999999,1266.780029
None,978.77623079094258,978.77623079094258,0.0,0,0,1266.780029,1269.5500489999999
None,978.77623079094258,978.77623079094258,0.0,0,0,1269.5500489999999,1272.3100589999999
BUY,978.77623079094258,0,0.77365664154882063,0,0.00061152343118193661,1272.3100589999999,1265.130005
SELL,0,979.882601565816,979.882601565816,0.77365664154882063,0,1265.130005,1266.5600589999999
None,979.882601565816,979.882601565816,0.0,0,0,1266.5600589999999,1278.709961
BUY,979.882601565816,0,0.76643744513464351,0,0.0005994864653845616,1278.709961,1278.48999
SELL,0,984.70352298677324,984.70352298677324,0.76643744513464351,0,1278.48999,1284.780029
BUY,984.70352298677324,0,0.77220743839110684,0,0.00060556737534345629,1284.780029,1275.1800539999999
