TYPE,cash_old,cash_new,trade,asset,asset_new,price_old,price_new
buy,1000,990.41921010979559,9.5807898902043895,0,0.0074265086017694781,1277.719971,1290.079956
sell,990.41921010979559,994.1426300239109,3.723419914115353,0.0074265086017694781,0.0045294240549902682,1290.079956,1285.2299800000001
sell,994.1426300239109,997.73174309557135,3.5891130716604462,0.0045294240549902682,0.0017267212641264157,1285.2299800000001,1280.589966
buy,997.73174309557135,990.39230322548974,7.3394398700816037,0.0017267212641264157,0.0074158569149415376,1280.589966,1290.079956
sell,990.39230322548974,990.47673853274625,0.084435307256482267,0.0074158569149415376,0.0073504016646995284,1290.079956,1289.969971
sell,990.47673853274625,999.8562925146764,9.3795539819301776,0.0073504016646995284,0.0,1289.969971,1276.0600589999999
buy,999.8562925146764,999.42558385817347,0.43070865650287832,0.0,0.00033738468409588566,1276.0600589999999,1276.6099850000001
buy,999.42558385817347,983.01639266293603,16.409191195237423,0.00033738468409588566,0.012980067313964743,1276.6099850000001,1297.920044
sell,983.01639266293603,990.62049968447388,7.6041070215379012,0.012980067313964743,0.0070757074419144726,1297.920044,1287.880005
sell,990.62049968447388,995.12792370403031,4.5074240195564741,0.0070757074419144726,0.0035598309741222815,1287.880005,1282.0200199999999
sell,995.12792370403031,996.23795837244722,1.1100346684169249,0.0035598309741222815,0.0026930159139635758,1282.0200199999999,1280.589966
buy,996.23795837244722,994.26584077120197,1.9721176012452521,0.0026930159139635758,0.0042299744400368959,1280.589966,1283.130005
sell,994.26584077120197,997.43505469954096,3.1692139283389706,0.0042299744400368959,0.0017521677790219856,1283.130005,1279.040039
sell,997.43505469954096,999.67054037915466,2.2354856796137055,0.0017521677790219856,2.1684043449710089e-19,1279.040039,1275.839966
buy,999.67054037915466,998.37152896167697,1.2990114174776497,2.1684043449710089e-19,0.0010168386829570645,1275.839966,1277.5
buy,998.37152896167697,991.68783628450115,6.6836926771758272,0.0010168386829570645,0.0062136669131459682,1277.5,1286.1099850000001
sell,991.68783628450115,995.60486564654332,3.9170293620421233,0.0062136669131459682,0.0031559483012724887,1286.1099850000001,1281.030029
buy,995.60486564654332,993.29422666395919,2.3106389825841513,0.0031559483012724887,0.0049554973426262638,1281.030029,1284.01001
buy,993.29422666395919,981.55995615928748,11.734270504671739,0.0049554973426262638,0.013986305309728421,1284.01001,1299.3599850000001
sell,981.55995615928748,988.98568212575844,7.4257259664709121,0.013986305309728421,0.0082278306720890114,1299.3599850000001,1289.530029
buy,988.98568212575844,987.20962886189977,1.7760532638586981,0.0082278306720890114,0.0096026445412334405,1289.530029,1291.849976
sell,987.20962886189977,995.9824337486117,8.7728048867119757,0.0096026445412334405,0.0027508712874311477,1291.849976,1280.369995
sell,995.9824337486117,999.48024919649424,3.4978154478825947,0.0027508712874311477,0.0,1280.369995,1271.530029
buy,999.48024919649424,996.96537770217799,2.5148714943162456,0.0,0.0019774888887880838,1268.5500489999999,1271.75
sell,996.96537770217799,999.46037533626497,2.4949976340869697,0.0019774888887880838,0.0,1271.75,1261.6999510000001
buy,999.46037533626497,997.60483271105852,1.8555426252064742,0.0,0.0014848260419743839,1247.349976,1249.670044
buy,997.60483271105852,980.79357758744288,16.811255123615638,0.0014848260419743839,0.014710683828043665,1249.670044,1271.089966
sell,980.79357758744288,985.30751369213601,4.5139361046931512,0.014710683828043665,0.011143031730125742,1271.089966,1265.23999
buy,985.30751369213601,982.99230202767637,2.3152116644596021,0.011143031730125742,0.012968591741323202,1265.23999,1268.219971
sell,982.99230202767637,983.58914149536781,0.59683946769142138,0.012968591741323202,0.012497693882815636,1268.219971,1267.4499510000001
sell,983.58914149536781,989.41719354799011,5.8280520526223487,0.012497693882815636,0.0078720352597572291,1267.4499510000001,1259.9399410000001
sell,989.41719354799011,989.58993360724412,0.17274005925405927,0.0078720352597572291,0.0077349094990876305,1259.9399410000001,1259.719971
buy,989.58993360724412,985.52953882695613,4.0603947802879787,0.0077349094990876305,0.010944936039432064,1259.719971,1264.910034
sell,985.52953882695613,988.80194231453061,3.2724034875744885,0.010944936039432064,0.0083492529808332373,1264.910034,1260.709961
buy,988.80194231453061,984.06387028073061,4.738072033800008,0.0083492529808332373,0.012089501425971937,1260.709961,1266.780029
buy,984.06387028073061,979.44801267497633,4.61585760575427,0.012089501425971937,0.01571618192548423,1266.780029,1272.75
sell,979.44801267497633,984.88870767353808,5.4406949985617263,0.01571618192548423,0.011417548174113027,1272.75,1265.6800539999999
sell,984.88870767353808,990.81820542007426,5.9294977465362413,0.011417548174113027,0.0067043409594674495,1265.6800539999999,1258.0600589999999
buy,990.81820542007426,990.03912589423419,0.77907952584005535,0.0067043409594674495,0.0073231245625965218,1258.0600589999999,1259.0500489999999
sell,990.03912589423419,994.81225291301371,4.7731270187795189,0.0073231245625965218,0.003513704543946648,1259.0500489999999,1252.9799800000001
buy,994.81225291301371,994.11405712791998,0.69819578509368996,0.003513704543946648,0.0040705416656717586,1252.9799800000001,1253.8599850000001
buy,994.11405712791998,989.31686836547624,4.7971887624437857,0.0040705416656717586,0.0078780158208575299,1253.8599850000001,1259.9399410000001
buy,989.31686836547624,986.38107048024915,2.9357978852271205,0.0078780158208575299,0.01020121060937023,1259.9399410000001,1263.6899410000001
buy,986.38107048024915,984.83011786381758,1.550952616431527,0.01020121060937023,0.011426601348151303,1263.6899410000001,1265.6800539999999
buy,984.83011786381758,983.97496662674564,0.85515123707195206,0.011426601348151303,0.01210166033037019,1265.6800539999999,1266.780029
