TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
sell,1000,1000.0,0.0,0,0,1292.619995,1287.880005
sell,1000.0,1000.0,0.0,0,0,1287.880005,1286.7700199999999
sell,1000.0,1000.0,0.0,0,0,1286.7700199999999,1277.719971
buy,1000.0,0,0.77514575383419104,0,0.00060085093968717627,1277.719971,1290.079956
sell,0,996.24056169740231,996.24056169740231,0.77514575383419104,0,1290.079956,1285.2299800000001
sell,996.24056169740231,996.24056169740231,0.0,0,0,1285.2299800000001,1280.589966
buy,996.24056169740231,0,0.77223164119713084,0,0.00059859207765036455,1280.589966,1290.079956
sell,0,996.15562780034531,996.15562780034531,0.77223164119713084,0,1290.079956,1289.969971
sell,996.15562780034531,996.15562780034531,0.0,0,0,1289.969971,1276.0600589999999
buy,996.15562780034531,0,0.78031320411483795,0,0.00061123852490848089,1276.0600589999999,1276.6099850000001
buy,0,0,0.0,0.78031320411483795,0.78031320411483795,1276.6099850000001,1297.920044
sell,0,1004.9497732169835,1004.9497732169835,0.78031320411483795,0,1297.920044,1287.880005
sell,1004.9497732169835,1004.9497732169835,0.0,0,0,1287.880005,1282.0200199999999
sell,1004.9497732169835,1004.9497732169835,0.0,0,0,1282.0200199999999,1280.589966
buy,1004.9497732169835,0,0.78320183403160581,0,0.00061038385119176273,1280.589966,1283.130005
sell,0,1001.7465043446566,1001.7465043446566,0.78320183403160581,0,1283.130005,1279.040039
sell,1001.7465043446566,1001.7465043446566,0.0,0,0,1279.040039,1275.839966
buy,1001.7465043446566,0,0.78414599165922239,0,0.00061381290932228754,1275.839966,1277.5
buy,0,0,0.0,0.78414599165922239,0.78414599165922239,1277.5,1286.1099850000001
sell,0,1004.5145624354474,1004.5145624354474,0.78414599165922239,0,1286.1099850000001,1281.030029
buy,1004.5145624354474,0,0.78232611475937586,0,0.00060928350142642259,1281.030029,1284.01001
buy,0,0,0.0,0.78232611475937586,0.78232611475937586,1284.01001,1299.3599850000001
sell,0,1008.8330174531153,1008.8330174531153,0.78232611475937586,0,1299.3599850000001,1289.530029
buy,1008.8330174531153,0,0.78092118759548235,0,0.00060449835670042416,1289.530029,1291.849976
sell,0,999.86805705702182,999.86805705702182,0.78092118759548235,0,1291.849976,1280.369995
sell,999.86805705702182,999.86805705702182,0.0,0,0,1280.369995,1271.530029
sell,999.86805705702182,999.86805705702182,0.0,0,0,1271.530029,1269.660034
sell,999.86805705702182,999.86805705702182,0.0,0,0,1269.660034,1268.5500489999999
buy,999.86805705702182,0,0.78621431653785867,0,0.00061821452057232837,1268.5500489999999,1271.75
sell,0,991.9665646513148,991.9665646513148,0.78621431653785867,0,1271.75,1261.6999510000001
sell,991.9665646513148,991.9665646513148,0.0,0,0,1261.6999510000001,1260.0500489999999
sell,991.9665646513148,991.9665646513148,0.0,0,0,1260.0500489999999,1247.349976
buy,991.9665646513148,0,0.79378278243446065,0,0.00063519389477696459,1247.349976,1249.670044
buy,0,0,0.0,0.79378278243446065,0.79378278243446065,1249.670044,1271.089966
sell,0,1004.3257197095492,1004.3257197095492,0.79378278243446065,0,1271.089966,1265.23999
buy,1004.3257197095492,0,0.79191760315651827,0,0.00062443237077562024,1265.23999,1268.219971
sell,0,1003.7159273167666,1003.7159273167666,0.79191760315651827,0,1268.219971,1267.4499510000001
