TYPE,cash_old,cash_new,trade,asset,asset_new,price_old,price_new
buy,1000,996.33303676383241,3.666963236167553,0,0.0028472864101710725,1292.619995,1287.880005
buy,996.33303676383241,995.47432731767378,0.85870944615861455,0.0028472864101710725,0.0035146235666262834,1287.880005,1286.7700199999999
buy,995.47432731767378,988.47300516962832,7.0013221480454657,0.0035146235666262834,0.0089941670557727536,1286.7700199999999,1277.719971
sell,988.47300516962832,997.9433573442974,9.4703521746691255,0.0089941670557727536,0.0016532637802635841,1277.719971,1290.079956
buy,997.9433573442974,994.19165086287433,3.751706481423124,0.0016532637802635841,0.0045723572808860358,1290.079956,1285.2299800000001
buy,994.19165086287433,990.60236081325456,3.5892900496197391,0.0045723572808860358,0.0073751982720825417,1285.2299800000001,1280.589966
sell,990.60236081325456,997.88935605286918,7.2869952396145576,0.0073751982720825417,0.0017267148538853538,1280.589966,1290.079956
buy,997.88935605286918,997.8042815888291,0.085074464040047995,0.0017267148538853538,0.0017926655860361939,1290.079956,1289.969971
buy,997.8042815888291,987.04482977045507,10.759451818374075,0.0017926655860361939,0.010224440989151507,1289.969971,1276.0600589999999
sell,987.04482977045507,987.47001962595857,0.42518985550346444,0.010224440989151507,0.0098913793176156513,1276.0600589999999,1276.6099850000001
sell,987.47001962595857,1000.308239105099,12.838219479140395,0.0098913793176156513,0.0,1276.6099850000001,1297.920044
buy,1000.308239105099,992.57037129185142,7.7378678132476004,0.0,0.0060082210945169544,1297.920044,1287.880005
buy,992.57037129185142,988.05407515817967,4.5162961336717631,0.0060082210945169544,0.0095310179800693062,1287.880005,1282.0200199999999
buy,988.05407515817967,986.9519311507903,1.102144007389348,0.0095310179800693062,0.010391671301313077,1282.0200199999999,1280.589966
sell,986.9519311507903,988.90566645935576,1.9537353085655089,0.010391671301313077,0.0088690389094647475,1280.589966,1283.130005
buy,988.90566645935576,985.75353804113979,3.1521284182159923,0.0088690389094647475,0.011333487497548386,1283.130005,1279.040039
buy,985.75353804113979,983.28724833514582,2.4662897059940132,0.011333487497548386,0.013266558863643226,1279.040039,1275.839966
sell,983.28724833514582,984.56497065530448,1.2777223201586805,0.013266558863643226,0.012266384836121753,1275.839966,1277.5
sell,984.56497065530448,991.15623402137476,6.5912633660702964,0.012266384836121753,0.0071414239517924895,1277.5,1286.1099850000001
buy,991.15623402137476,987.24130441451507,3.9149296068596899,0.0071414239517924895,0.010197503448941958,1286.1099850000001,1281.030029
sell,987.24130441451507,989.53253291480576,2.2912285002906518,0.010197503448941958,0.0084130714877840764,1281.030029,1284.01001
sell,989.53253291480576,1000.4641413569768,10.931608442171045,0.0084130714877840764,0.0,1284.01001,1299.3599850000001
buy,1000.4641413569768,992.89540089809861,7.5687404588782172,0.0,0.0058693789897607861,1299.3599850000001,1289.530029
sell,992.89540089809861,994.6784753645004,1.7830744664017513,0.0058693789897607861,0.0044891301222237468,1289.530029,1291.849976
buy,994.6784753645004,985.83929882664108,8.8391765378593146,0.0044891301222237468,0.011392741244303591,1291.849976,1280.369995
buy,985.83929882664108,979.03283982094456,6.8064590056964747,0.011392741244303591,0.016745708811298013,1280.369995,1271.530029
buy,979.03283982094456,977.59301026635603,1.4398295545885513,0.016745708811298013,0.017879736437616565,1271.530029,1269.660034
buy,977.59301026635603,976.73836134582416,0.85464892053191821,0.017879736437616565,0.018553457526670671,1269.660034,1268.5500489999999
sell,976.73836134582416,979.19601017313062,2.4576488273065014,0.018553457526670671,0.016620963854717456,1268.5500489999999,1271.75
buy,979.19601017313062,971.45787934329428,7.7381308298363445,0.016620963854717456,0.022754062951458518,1271.75,1261.6999510000001
buy,971.45787934329428,970.18752160350516,1.2703577397890791,0.022754062951458518,0.023762243333497517,1261.6999510000001,1260.0500489999999
buy,970.18752160350516,960.4089795862003,9.778542017304872,0.023762243333497517,0.031601696739078755,1260.0500489999999,1247.349976
sell,960.4089795862003,962.19202155887854,1.783041972678181,0.031601696739078755,0.030174886533265596,1247.349976,1249.670044
sell,962.19202155887854,978.40651353199314,16.21449197311459,0.030174886533265596,0.0174185180567367,1249.670044,1271.089966
buy,978.40651353199314,973.90356348478485,4.5029500472083388,0.0174185180567367,0.020977487171527594,1271.089966,1265.23999
sell,973.90356348478485,976.19197888698716,2.2884154022023089,0.020977487171527594,0.019173056193833811,1265.23999,1268.219971
buy,976.19197888698716,975.59926834404428,0.59271054294292991,0.019173056193833811,0.01964069638938969,1268.219971,1267.4499510000001
buy,975.59926834404428,969.81855861623546,5.78070972780879,0.01964069638938969,0.024228779947738276,1267.4499510000001,1259.9399410000001
buy,969.81855861623546,969.64924023732158,0.16931837891386842,0.024228779947738276,0.024363189485422636,1259.9399410000001,1259.719971
sell,969.64924023732158,973.62781619091697,3.9785759535953749,0.024363189485422636,0.021217846459710362,1259.719971,1264.910034
buy,973.62781619091697,970.39493180158149,3.232884389335509,0.021217846459710362,0.023782182817274455,1264.910034,1260.709961
sell,970.39493180158149,975.04480240898351,4.6498706074019953,0.023782182817274455,0.020111560845855615,1260.709961,1266.780029
sell,975.04480240898351,979.61835510517869,4.573552696195156,0.020111560845855615,0.016518119324586588,1266.780029,1272.75
buy,979.61835510517869,974.17671387854148,5.4416412266371843,0.016518119324586588,0.020817500680435294,1272.75,1265.6800539999999
buy,974.17671387854148,968.31170742180632,5.8650064567352045,0.020817500680435294,0.025479445406188014,1265.6800539999999,1258.0600589999999
sell,968.31170742180632,969.07309010710298,0.76138268529666153,0.025479445406188014,0.024874717511612743,1258.0600589999999,1259.0500489999999
