TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old_2,price_old,price_new
None,1000,1000,0,0,0,-1,-1,1292.619995
None,1000,1000,0,0,0,1292.619995,-1,1287.880005
BUY,1000,0,1000,0,0.77713964768933619,1292.619995,1287.880005,1286.7700199999999
None,0,0,0,0.77713964768933619,0.77713964768933619,1287.880005,1286.7700199999999,1277.719971
None,0,0,0,0.77713964768933619,0.77713964768933619,1286.7700199999999,1277.719971,1290.079956
None,0,0,0,0.77713964768933619,0.77713964768933619,1277.719971,1290.079956,1285.2299800000001
None,0,0,0,0.77713964768933619,0.77713964768933619,1290.079956,1285.2299800000001,1280.589966
None,0,0,0,0.77713964768933619,0.77713964768933619,1285.2299800000001,1280.589966,1290.079956
None,0,0,0,0.77713964768933619,0.77713964768933619,1280.589966,1290.079956,1289.969971
None,0,0,0,0.77713964768933619,0.77713964768933619,1290.079956,1289.969971,1276.0600589999999
None,0,0,0,0.77713964768933619,0.77713964768933619,1289.969971,1276.0600589999999,1276.6099850000001
SELL,0,1008.6651257230877,1008.6651257230877,0.77713964768933619,0.0,1276.0600589999999,1276.6099850000001,1297.920044
None,1008.6651257230877,1008.6651257230877,0,0.0,0.0,1276.6099850000001,1297.920044,1287.880005
BUY,1008.6651257230877,0.0,1008.6651257230877,0.0,0.78677798317306136,1297.920044,1287.880005,1282.0200199999999
None,0.0,0.0,0,0.78677798317306136,0.78677798317306136,1287.880005,1282.0200199999999,1280.589966
None,0.0,0.0,0,0.78677798317306136,0.78677798317306136,1282.0200199999999,1280.589966,1283.130005
None,0.0,0.0,0,0.78677798317306136,0.78677798317306136,1280.589966,1283.130005,1279.040039
None,0.0,0.0,0,0.78677798317306136,0.78677798317306136,1283.130005,1279.040039,1275.839966
None,0.0,0.0,0,0.78677798317306136,0.78677798317306136,1279.040039,1275.839966,1277.5
SELL,0.0,1011.8830201370363,1011.8830201370363,0.78677798317306136,0.0,1275.839966,1277.5,1286.1099850000001
None,1011.8830201370363,1011.8830201370363,0,0.0,0.0,1277.5,1286.1099850000001,1281.030029
None,1011.8830201370363,1011.8830201370363,0,0.0,0.0,1286.1099850000001,1281.030029,1284.01001
None,1011.8830201370363,1011.8830201370363,0,0.0,0.0,1281.030029,1284.01001,1299.3599850000001
None,1011.8830201370363,1011.8830201370363,0,0.0,0.0,1284.01001,1299.3599850000001,1289.530029
None,1011.8830201370363,1011.8830201370363,0,0.0,0.0,1299.3599850000001,1289.530029,1291.849976
None,1011.8830201370363,1011.8830201370363,0,0.0,0.0,1289.530029,1291.849976,1280.369995
BUY,1011.8830201370363,0.0,1011.8830201370363,0.0,0.79579954626225835,1291.849976,1280.369995,1271.530029
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1280.369995,1271.530029,1269.660034
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1271.530029,1269.660034,1268.5500489999999
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1269.660034,1268.5500489999999,1271.75
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1268.5500489999999,1271.75,1261.6999510000001
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1271.75,1261.6999510000001,1260.0500489999999
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1261.6999510000001,1260.0500489999999,1247.349976
None,0.0,0.0,0,0.79579954626225835,0.79579954626225835,1260.0500489999999,1247.349976,1249.670044
SELL,0.0,1011.5328182013094,1011.5328182013094,0.79579954626225835,0.0,1247.349976,1249.670044,1271.089966
None,1011.5328182013094,1011.5328182013094,0,0.0,0.0,1249.670044,1271.089966,1265.23999
None,1011.5328182013094,1011.5328182013094,0,0.0,0.0,1271.089966,1265.23999,1268.219971
None,1011.5328182013094,1011.5328182013094,0,0.0,0.0,1265.23999,1268.219971,1267.4499510000001
BUY,1011.5328182013094,0.0,1011.5328182013094,0.0,0.80284209213850877,1268.219971,1267.4499510000001,1259.9399410000001
None,0.0,0.0,0,0.80284209213850877,0.80284209213850877,1267.4499510000001,1259.9399410000001,1259.719971
None,0.0,0.0,0,0.80284209213850877,0.80284209213850877,1259.9399410000001,1259.719971,1264.910034
None,0.0,0.0,0,0.80284209213850877,0.80284209213850877,1259.719971,1264.910034,1260.709961
None,0.0,0.0,0,0.80284209213850877,0.80284209213850877,1264.910034,1260.709961,1266.780029
SELL,0.0,1021.817272769287,1021.817272769287,0.80284209213850877,0.0,1260.709961,1266.780029,1272.75
None,1021.817272769287,1021.817272769287,0,0.0,0.0,1266.780029,1272.75,1265.6800539999999
BUY,1021.817272769287,0.0,1021.817272769287,0.0,0.81221660719560851,1272.75,1265.6800539999999,1258.0600589999999
None,0.0,0.0,0,0.81221660719560851,0.81221660719560851,1265.6800539999999,1258.0600589999999,1259.0500489999999
None,0.0,0.0,0,0.81221660719560851,0.81221660719560851,1258.0600589999999,1259.0500489999999,1252.9799800000001
None,0.0,0.0,0,0.81221660719560851,0.81221660719560851,1259.0500489999999,1252.9799800000001,1253.8599850000001
SELL,0.0,1023.3441441492553,1023.3441441492553,0.81221660719560851,0.0,1252.9799800000001,1253.8599850000001,1259.9399410000001
None,1023.3441441492553,1023.3441441492553,0,0.0,0.0,1253.8599850000001,1259.9399410000001,1263.6899410000001
None,1023.3441441492553,1023.3441441492553,0,0.0,0.0,1259.9399410000001,1263.6899410000001,1265.6800539999999
None,1023.3441441492553,1023.3441441492553,0,0.0,0.0,1263.6899410000001,1265.6800539999999,1266.780029
